"group","common_name","phenophase_description","site_id","latitude","longitude","n","resident","jan1","present_jan1"
"Bird","American crow","Calls or song (birds)",17707,37.360123,-122.128151,9,FALSE,"nb",1
"Bird","American crow","Live individuals",17707,37.360123,-122.128151,9,FALSE,"nb",1
"Bird","American goldfinch","Calls or song (birds)",5428,48.033489,-122.598724,9,FALSE,"nb",1
"Bird","American goldfinch","Calls or song (birds)",8736,44.903229,-93.217445,9,FALSE,"nb",1
"Bird","American goldfinch","Fruit/seed consumption",1897,40.64323,-75.315399,9,FALSE,"nb",1
"Bird","American goldfinch","Fruit/seed consumption",6481,42.456135,-72.344215,9,FALSE,"nb",1
"Bird","American goldfinch","Individuals at a feeding station",1897,40.64323,-75.315399,9,FALSE,"nb",1
"Bird","American goldfinch","Live individuals",1897,40.64323,-75.315399,9,FALSE,"nb",1
"Bird","American goldfinch","Live individuals",9652,44.768246,-94.155746,9,FALSE,"nb",1
"Bird","American goldfinch","Singing individuals (birds)",10145,42.602543,-83.250992,9,FALSE,"nb",1
"Bird","American kestrel","Live individuals",22740,38.525036,-121.970711,9,FALSE,"nb",1
"Bird","American redstart","Calls or song (birds)",10145,42.602543,-83.250992,9,FALSE,"nb",0
"Bird","American robin","Calls or song (birds)",5262,42.442348,-72.346504,9,FALSE,"nb",1
"Bird","American robin","Fruit/seed consumption",2803,39.971001,-105.397003,9,FALSE,"nb",1
"Bird","American robin","Fruit/seed consumption",8418,32.363758,-94.873947,9,FALSE,"nb",1
"Bird","American robin","Fruit/seed consumption",10145,42.602543,-83.250992,9,FALSE,"nb",1
"Bird","American robin","Individuals at a feeding station",1419,42.011166,-88.503304,9,FALSE,"nb",1
"Bird","American robin","Insect consumption",10717,38.285664,-111.246605,9,FALSE,"nb",1
"Bird","American robin","Live individuals",5582,45.195858,-70.45369,9,FALSE,"nb",0
"Bird","American robin","Live individuals",6481,42.456135,-72.344215,9,FALSE,"nb",1
"Bird","American woodcock","Calls or song (birds)",5261,42.448402,-72.345314,9,FALSE,"nb",0
"Bird","Anna's hummingbird","Calls or song (birds)",5428,48.033489,-122.598724,9,FALSE,"m1",1
"Bird","Anna's hummingbird","Calls or song (birds)",12725,37.360928,-122.130836,9,FALSE,"m1",1
"Bird","Anna's hummingbird","Calls or song (birds)",22740,38.525036,-121.970711,9,FALSE,"m1",1
"Bird","Anna's hummingbird","Calls or song (birds)",22858,38.09404,-122.37149,9,FALSE,"m1",1
"Bird","Anna's hummingbird","Flower visitation",6102,32.23188,-110.951012,9,FALSE,"m1",1
"Bird","Anna's hummingbird","Flower visitation",20765,33.632149,-117.55545,9,FALSE,"m1",1
"Bird","Anna's hummingbird","Live individuals",6102,32.23188,-110.951012,9,FALSE,"m1",1
"Bird","Anna's hummingbird","Live individuals",12725,37.360928,-122.130836,9,FALSE,"m1",1
"Bird","Anna's hummingbird","Live individuals",22858,38.09404,-122.37149,9,FALSE,"m1",1
"Bird","Anna's hummingbird","Singing individuals (birds)",20765,33.632149,-117.55545,9,FALSE,"m1",1
"Bird","Baltimore oriole","Calls or song (birds)",1447,42.176537,-85.892448,9,FALSE,"nb",0
"Bird","Baltimore oriole","Live individuals",10145,42.602543,-83.250992,9,FALSE,"nb",0
"Bird","California scrub-jay","Calls or song (birds)",22740,38.525036,-121.970711,9,TRUE,NA,1
"Bird","California scrub-jay","Live individuals",22740,38.525036,-121.970711,9,TRUE,NA,1
"Bird","Carolina chickadee","Calls or song (birds)",8418,32.363758,-94.873947,9,TRUE,NA,1
"Bird","Carolina chickadee","Calls or song (birds)",9341,35.639874,-83.687721,9,TRUE,NA,1
"Bird","Carolina chickadee","Calls or song (birds)",9344,35.640373,-83.692863,9,TRUE,NA,1
"Bird","Carolina chickadee","Fruit/seed consumption",8418,32.363758,-94.873947,9,TRUE,NA,1
"Bird","Carolina chickadee","Individuals at a feeding station",8418,32.363758,-94.873947,9,TRUE,NA,1
"Bird","Carolina chickadee","Live individuals",8418,32.363758,-94.873947,9,TRUE,NA,1
"Bird","Carolina wren","Calls or song (birds)",8418,32.363758,-94.873947,9,TRUE,NA,1
"Bird","Carolina wren","Fruit/seed consumption",8418,32.363758,-94.873947,9,TRUE,NA,1
"Bird","Carolina wren","Fruit/seed consumption",8923,42.286381,-72.653831,9,TRUE,NA,1
"Bird","Carolina wren","Individuals at a feeding station",8418,32.363758,-94.873947,9,TRUE,NA,1
"Bird","Carolina wren","Individuals at a feeding station",8923,42.286381,-72.653831,9,TRUE,NA,1
"Bird","Carolina wren","Individuals at a feeding station",10145,42.602543,-83.250992,9,TRUE,NA,1
"Bird","Carolina wren","Live individuals",8418,32.363758,-94.873947,9,TRUE,NA,1
"Bird","Carolina wren","Live individuals",10145,42.602543,-83.250992,9,TRUE,NA,1
"Bird","European starling","Calls or song (birds)",8418,32.363758,-94.873947,9,FALSE,"nb",1
"Bird","European starling","Individuals at a feeding station",10145,42.602543,-83.250992,9,FALSE,"nb",1
"Bird","European starling","Live individuals",8418,32.363758,-94.873947,9,FALSE,"nb",1
"Bird","European starling","Live individuals",8496,46.328629,-96.061256,9,FALSE,"nb",1
"Bird","Say's phoebe","Live individuals",22740,38.525036,-121.970711,9,FALSE,"nb",1
"Bird","acorn woodpecker","Calls or song (birds)",6100,34.118332,-118.758636,9,TRUE,NA,1
"Bird","acorn woodpecker","Calls or song (birds)",20765,33.632149,-117.55545,9,TRUE,NA,1
"Bird","acorn woodpecker","Live individuals",20765,33.632149,-117.55545,9,TRUE,NA,1
"Bird","black phoebe","Insect consumption",6091,34.11578,-118.757507,9,FALSE,"nb",1
"Bird","black phoebe","Insect consumption",20765,33.632149,-117.55545,9,FALSE,"nb",1
"Bird","black-capped chickadee","Individuals at a feeding station",1447,42.176537,-85.892448,9,TRUE,NA,1
"Bird","black-chinned hummingbird","Live individuals",6102,32.23188,-110.951012,9,FALSE,"nb",0
"Bird","black-throated green warbler","Live individuals",9342,35.644516,-83.68988,9,FALSE,"nb",0
"Bird","black-throated green warbler","Singing individuals (birds)",9341,35.639874,-83.687721,9,FALSE,"nb",0
"Bird","blue jay","Calls or song (birds)",8923,42.286381,-72.653831,9,FALSE,"nb",1
"Bird","blue jay","Calls or song (birds)",16295,27.929228,-82.725639,9,FALSE,"nb",1
"Bird","blue jay","Live individuals",16295,27.929228,-82.725639,9,FALSE,"nb",1
"Bird","broad-winged hawk","Live individuals",10145,42.602543,-83.250992,9,FALSE,"nb",0
"Bird","bushtit","Live individuals",22740,38.525036,-121.970711,9,TRUE,NA,1
"Bird","cedar waxwing","Calls or song (birds)",10145,42.602543,-83.250992,9,FALSE,"nb",1
"Bird","cedar waxwing","Live individuals",8418,32.363758,-94.873947,9,FALSE,"nb",1
"Bird","cliff swallow","Nest building (birds)",19944,33.66478,-117.843063,9,FALSE,"nb",0
"Bird","cliff swallow","Singing individuals (birds)",19944,33.66478,-117.843063,9,FALSE,"nb",0
"Bird","common yellowthroat","Live individuals",17414,42.936153,-73.433449,9,FALSE,"nb",0
"Bird","curve-billed thrasher","Calls or song (birds)",6102,32.23188,-110.951012,9,TRUE,NA,1
"Bird","curve-billed thrasher","Individuals at a feeding station",8242,31.596231,-110.575493,9,TRUE,NA,1
"Bird","curve-billed thrasher","Live individuals",6102,32.23188,-110.951012,9,TRUE,NA,1
"Bird","curve-billed thrasher","Singing individuals (birds)",6102,32.23188,-110.951012,9,TRUE,NA,1
"Bird","dark-eyed junco","Calls or song (birds)",8418,32.363758,-94.873947,9,FALSE,"nb",1
"Bird","dark-eyed junco","Calls or song (birds)",22740,38.525036,-121.970711,9,FALSE,"nb",1
"Bird","dark-eyed junco","Fruit/seed consumption",22740,38.525036,-121.970711,9,FALSE,"nb",1
"Bird","dark-eyed junco","Individuals at a feeding station",1447,42.176537,-85.892448,9,FALSE,"nb",1
"Bird","dark-eyed junco","Individuals at a feeding station",8418,32.363758,-94.873947,9,FALSE,"nb",1
"Bird","dark-eyed junco","Live individuals",1447,42.176537,-85.892448,9,FALSE,"nb",1
"Bird","dark-eyed junco","Live individuals",22740,38.525036,-121.970711,9,FALSE,"nb",1
"Bird","downy woodpecker","Calls or song (birds)",8418,32.363758,-94.873947,9,TRUE,NA,1
"Bird","eastern bluebird","Calls or song (birds)",8418,32.363758,-94.873947,9,FALSE,"nb",1
"Bird","eastern bluebird","Insect consumption",8418,32.363758,-94.873947,9,FALSE,"nb",1
"Bird","eastern bluebird","Singing individuals (birds)",8923,42.286381,-72.653831,9,FALSE,"nb",1
"Bird","eastern phoebe","Live individuals",8496,46.328629,-96.061256,9,FALSE,"nb",0
"Bird","hooded warbler","Calls or song (birds)",9340,35.642353,-83.687431,9,FALSE,"nb",0
"Bird","hooded warbler","Live individuals",9342,35.644516,-83.68988,9,FALSE,"nb",0
"Bird","house wren","Calls or song (birds)",20765,33.632149,-117.55545,9,FALSE,"nb",1
"Bird","house wren","Live individuals",20765,33.632149,-117.55545,9,FALSE,"nb",1
"Bird","house wren","Singing individuals (birds)",8496,46.328629,-96.061256,9,FALSE,"nb",0
"Bird","house wren","Singing individuals (birds)",10145,42.602543,-83.250992,9,FALSE,"nb",0
"Bird","house wren","Singing individuals (birds)",20765,33.632149,-117.55545,9,FALSE,"nb",1
"Bird","lark sparrow","Live individuals",22740,38.525036,-121.970711,9,FALSE,"nb",1
"Bird","lesser goldfinch","Calls or song (birds)",20765,33.632149,-117.55545,9,FALSE,"nb",1
"Bird","lesser goldfinch","Individuals at a feeding station",8242,31.596231,-110.575493,9,FALSE,"nb",1
"Bird","lesser goldfinch","Live individuals",20765,33.632149,-117.55545,9,FALSE,"nb",1
"Bird","mallard","Calls or song (birds)",22858,38.09404,-122.37149,9,FALSE,"nb",1
"Bird","mallard","Live individuals",22858,38.09404,-122.37149,9,FALSE,"nb",1
"Bird","mourning dove","Calls or song (birds)",22740,38.525036,-121.970711,9,FALSE,"nb",1
"Bird","mourning dove","Individuals at a feeding station",8242,31.596231,-110.575493,9,FALSE,"nb",1
"Bird","mourning dove","Individuals at a feeding station",8496,46.328629,-96.061256,9,FALSE,"nb",0
"Bird","mourning dove","Live individuals",6102,32.23188,-110.951012,9,FALSE,"nb",1
"Bird","mourning dove","Live individuals",22740,38.525036,-121.970711,9,FALSE,"nb",1
"Bird","northern cardinal","Fruit/seed consumption",9652,44.768246,-94.155746,9,TRUE,NA,1
"Bird","northern cardinal","Insect consumption",8418,32.363758,-94.873947,9,TRUE,NA,1
"Bird","northern cardinal","Singing individuals (birds)",8736,44.903229,-93.217445,9,TRUE,NA,1
"Bird","northern cardinal","Singing individuals (birds)",11313,44.201355,-92.646301,9,TRUE,NA,1
"Bird","northern mockingbird","Fruit/seed consumption",8418,32.363758,-94.873947,9,FALSE,"nb",1
"Bird","northern mockingbird","Live individuals",8923,42.286381,-72.653831,9,FALSE,"nb",1
"Bird","northern mockingbird","Live individuals",16295,27.929228,-82.725639,9,FALSE,"nb",1
"Bird","northern mockingbird","Singing individuals (birds)",16295,27.929228,-82.725639,9,FALSE,"nb",1
"Bird","osprey","Nest building (birds)",19944,33.66478,-117.843063,9,FALSE,"nb",1
"Bird","red-eyed vireo","Calls or song (birds)",9344,35.640373,-83.692863,9,FALSE,"nb",0
"Bird","red-eyed vireo","Live individuals",9341,35.639874,-83.687721,9,FALSE,"nb",0
"Bird","red-eyed vireo","Singing individuals (birds)",9341,35.639874,-83.687721,9,FALSE,"nb",0
"Bird","red-tailed hawk","Live individuals",6081,34.0312,-118.811821,9,FALSE,"nb",1
"Bird","red-tailed hawk","Live individuals",8418,32.363758,-94.873947,9,FALSE,"nb",1
"Bird","red-tailed hawk","Live individuals",22858,38.09404,-122.37149,9,FALSE,"nb",1
"Bird","red-winged blackbird","Calls or song (birds)",8418,32.363758,-94.873947,9,FALSE,"nb",1
"Bird","red-winged blackbird","Calls or song (birds)",22858,38.09404,-122.37149,9,FALSE,"nb",1
"Bird","red-winged blackbird","Fruit/seed consumption",8418,32.363758,-94.873947,9,FALSE,"nb",1
