"site_id","latitude","longitude","species_id","genus","species","common_name","kingdom","individual_id","phenophase_id","phenophase_description","first_yes_year","first_yes_month","first_yes_day","first_yes_doy","first_yes_julian_date","numdays_since_prior_no","ind_phen","phenophase","state","series_yrs","first_yes_date","yeartype","dop","year","resident","present_jan1","ind_phen_year"
681,41.296783,-105.5746,246,"Turdus","migratorius","American robin","Animalia",6025,292,"Live individuals",2011,3,14,73,2455635,NA,"6025_Live individuals","Adults observed","WY",10,2011-03-14,"calendar",73,2011,FALSE,0,"6025_Live individuals_2011"
1419,42.011166,-88.503304,244,"Charadrius","vociferus","killdeer","Animalia",10286,293,"Calls or song (birds)",2011,3,23,82,2455644,14,"10286_Calls or song (birds)","Adults observed","IL",12,2011-03-23,"calendar",82,2011,FALSE,0,"10286_Calls or song (birds)_2011"
1447,42.176537,-85.892448,360,"Icterus","galbula","Baltimore oriole","Animalia",11246,293,"Calls or song (birds)",2011,5,9,129,2455691,9,"11246_Calls or song (birds)","Adults observed","MI",9,2011-05-09,"calendar",129,2011,FALSE,0,"11246_Calls or song (birds)_2011"
5428,48.033489,-122.598724,240,"Spinus","tristis","American goldfinch","Animalia",11347,292,"Live individuals",2011,4,17,107,2455669,NA,"11347_Live individuals","Adults observed","WA",14,2011-04-17,"calendar",107,2011,FALSE,0,"11347_Live individuals_2011"
5582,45.195858,-70.45369,246,"Turdus","migratorius","American robin","Animalia",12466,292,"Live individuals",2011,5,8,128,2455690,7,"12466_Live individuals","Adults observed","ME",9,2011-05-08,"calendar",128,2011,FALSE,0,"12466_Live individuals_2011"
5582,45.195858,-70.45369,243,"Gavia","immer","common loon","Animalia",12467,293,"Calls or song (birds)",2011,5,8,128,2455690,7,"12467_Calls or song (birds)","Adults observed","ME",12,2011-05-08,"calendar",128,2011,FALSE,0,"12467_Calls or song (birds)_2011"
5583,45.196041,-70.459015,243,"Gavia","immer","common loon","Animalia",12472,292,"Live individuals",2011,5,1,121,2455683,NA,"12472_Live individuals","Adults observed","ME",12,2011-05-01,"calendar",121,2011,FALSE,0,"12472_Live individuals_2011"
2803,39.971001,-105.397003,246,"Turdus","migratorius","American robin","Animalia",16046,292,"Live individuals",2011,9,8,251,2455813,5,"16046_Live individuals","Adults observed","CO",15,2011-09-08,"calendar",251,2011,FALSE,0,"16046_Live individuals_2011"
2803,39.971001,-105.397003,354,"Selasphorus","platycercus","broad-tailed hummingbird","Animalia",16048,292,"Live individuals",2011,9,3,246,2455808,NA,"16048_Live individuals","Adults observed","CO",15,2011-09-03,"calendar",246,2011,FALSE,0,"16048_Live individuals_2011"
2803,39.971001,-105.397003,357,"Sialia","mexicana","western bluebird","Animalia",16214,292,"Live individuals",2011,9,15,258,2455820,NA,"16214_Live individuals","Adults observed","CO",14,2011-09-15,"calendar",258,2011,FALSE,0,"16214_Live individuals_2011"
9344,35.640373,-83.692863,377,"Vireo","olivaceus","red-eyed vireo","Animalia",32889,293,"Calls or song (birds)",2011,4,11,101,2455663,4,"32889_Calls or song (birds)","Adults observed","TN",10,2011-04-11,"calendar",101,2011,FALSE,0,"32889_Calls or song (birds)_2011"
9341,35.639874,-83.687721,1098,"Setophaga","virens","black-throated green warbler","Animalia",75375,293,"Calls or song (birds)",2011,4,2,92,2455654,9,"75375_Calls or song (birds)","Adults observed","TN",13,2011-04-02,"calendar",92,2011,FALSE,0,"75375_Calls or song (birds)_2011"
9340,35.642353,-83.687431,1236,"Setophaga","citrina","hooded warbler","Animalia",75396,293,"Calls or song (birds)",2011,4,14,104,2455666,7,"75396_Calls or song (birds)","Adults observed","TN",9,2011-04-14,"calendar",104,2011,FALSE,0,"75396_Calls or song (birds)_2011"
8806,35.640625,-83.689034,1098,"Setophaga","virens","black-throated green warbler","Animalia",75401,293,"Calls or song (birds)",2011,3,25,84,2455646,15,"75401_Calls or song (birds)","Adults observed","TN",14,2011-03-25,"calendar",84,2011,FALSE,0,"75401_Calls or song (birds)_2011"
