"site_id","latitude","longitude","species_id","genus","species","common_name","kingdom","individual_id","phenophase_id","phenophase_description","first_yes_year","first_yes_month","first_yes_day","first_yes_doy","first_yes_julian_date","numdays_since_prior_no","ind_phen","phenophase","state","first_yes_date","yeartype","dop","year","ind_phen_year","series_yrs"
8496,46.328629,-96.061256,421,"Thamnophis","sirtalis","common gartersnake","Animalia",25782,355,"Individuals on land (rock/log)",2012,4,24,115,2456042,2,"25782_Individuals on land (rock/log)","Adults observed","MN",2012-04-24,"calendar",115,2012,"25782_Individuals on land (rock/log)_2012",10
8496,46.328629,-96.061256,421,"Thamnophis","sirtalis","common gartersnake","Animalia",25782,355,"Individuals on land (rock/log)",2013,5,15,135,2456428,2,"25782_Individuals on land (rock/log)","Adults observed","MN",2013-05-15,"calendar",135,2013,"25782_Individuals on land (rock/log)_2013",10
10145,42.602543,-83.250992,230,"Anaxyrus","americanus","American toad","Animalia",38841,274,"Adults on land",2013,5,2,122,2456415,1,"38841_Adults on land","Adults observed","MI",2013-05-02,"calendar",122,2013,"38841_Adults on land_2013",11
8496,46.328629,-96.061256,421,"Thamnophis","sirtalis","common gartersnake","Animalia",25782,355,"Individuals on land (rock/log)",2014,6,13,164,2456822,5,"25782_Individuals on land (rock/log)","Adults observed","MN",2014-06-13,"calendar",164,2014,"25782_Individuals on land (rock/log)_2014",10
10145,42.602543,-83.250992,230,"Anaxyrus","americanus","American toad","Animalia",38841,274,"Adults on land",2014,6,9,160,2456818,1,"38841_Adults on land","Adults observed","MI",2014-06-09,"calendar",160,2014,"38841_Adults on land_2014",11
10145,42.602543,-83.250992,280,"Chrysemys","picta","painted turtle","Animalia",38933,355,"Individuals on land (rock/log)",2014,5,4,124,2456782,1,"38933_Individuals on land (rock/log)","Adults observed","MI",2014-05-04,"calendar",124,2014,"38933_Individuals on land (rock/log)_2014",9
5260,42.454987,-72.345177,307,"Lithobates","clamitans","green frog","Animalia",12257,276,"Vocalizing",2015,6,2,153,2457176,1,"12257_Vocalizing","Calls or songs","MA",2015-06-02,"calendar",153,2015,"12257_Vocalizing_2015",10
5260,42.454987,-72.345177,346,"Lithobates","palustris","pickerel frog","Animalia",12259,276,"Vocalizing",2015,4,29,119,2457142,2,"12259_Vocalizing","Calls or songs","MA",2015-04-29,"calendar",119,2015,"12259_Vocalizing_2015",9
8496,46.328629,-96.061256,421,"Thamnophis","sirtalis","common gartersnake","Animalia",25782,355,"Individuals on land (rock/log)",2015,4,29,119,2457142,1,"25782_Individuals on land (rock/log)","Adults observed","MN",2015-04-29,"calendar",119,2015,"25782_Individuals on land (rock/log)_2015",10
10145,42.602543,-83.250992,230,"Anaxyrus","americanus","American toad","Animalia",38841,274,"Adults on land",2015,5,11,131,2457154,1,"38841_Adults on land","Adults observed","MI",2015-05-11,"calendar",131,2015,"38841_Adults on land_2015",11
