"group","yeartype","common_name","phenophase_description","state","n_series"
"Mammal","summer","elk","Male combat (horn/antler)","CO",1
"Mammal","summer","elk","Males vocalizing","CO",1
"Plant","summer","American pokeweed","Recent fruit or seed drop","OH",1
"Plant","summer","American pokeweed","Ripe fruits","OH",1
"Plant","summer","American witchhazel","Open flowers","ME",2
"Plant","summer","American witchhazel","Open flowers","NY",4
"Plant","water","arroyo willow","Open flowers","CA",2
"Plant","summer","California buckeye","Recent fruit or seed drop","CA",5
"Plant","summer","California buckeye","Ripe fruits","CA",4
"Plant","summer","California laurel","Open flowers","CA",3
"Plant","summer","California laurel","Recent fruit or seed drop","CA",1
"Plant","summer","California laurel","Ripe fruits","CA",1
"Plant","water","California live oak","Open flowers","CA",10
"Plant","summer","California live oak","Recent fruit or seed drop","CA",6
"Plant","summer","California live oak","Ripe fruits","CA",5
"Plant","summer","California wildrose","Recent fruit or seed drop","CA",1
"Plant","summer","California wildrose","Ripe fruits","CA",2
"Plant","summer","candy barrelcactus","Recent fruit or seed drop","AZ",2
"Plant","summer","candy barrelcactus","Ripe fruits","AZ",3
"Plant","summer","common milkweed","Ripe fruits","NY",2
"Plant","summer","common snowberry","Recent fruit or seed drop","CA",3
"Plant","summer","common snowberry","Ripe fruits","CA",3
"Plant","summer","common winterberry","Recent fruit or seed drop","ME",1
"Plant","summer","common winterberry","Recent fruit or seed drop","NY",3
"Plant","summer","common winterberry","Ripe fruits","ME",1
"Plant","summer","common winterberry","Ripe fruits","NY",3
"Plant","summer","coyotebrush","Open flowers","CA",15
"Plant","summer","coyotebrush","Recent fruit or seed drop","CA",4
"Plant","summer","coyotebrush","Ripe fruits","CA",6
"Plant","summer","creosote bush","Open flowers","AZ",6
"Plant","summer","Eastern Mojave buckwheat","Open flowers","CA",16
"Plant","summer","Eastern Mojave buckwheat","Recent fruit or seed drop","CA",15
"Plant","summer","Eastern Mojave buckwheat","Ripe fruits","CA",14
"Plant","summer","fall phlox","Ripe fruits","OH",1
"Plant","summer","fourwing saltbush","Recent fruit or seed drop","NM",2
"Plant","summer","fourwing saltbush","Ripe fruits","NM",2
"Plant","summer","Japanese barberry","Ripe fruits","NY",2
"Plant","summer","jojoba","Open flowers","AZ",5
"Plant","summer","jojoba","Recent fruit or seed drop","AZ",3
"Plant","summer","jojoba","Ripe fruits","AZ",2
"Plant","summer","kinnikinnick","Recent fruit or seed drop","CO",3
"Plant","summer","kinnikinnick","Ripe fruits","CO",3
"Plant","summer","multiflora rose","Recent fruit or seed drop","NY",1
"Plant","summer","New England aster","Recent fruit or seed drop","NY",1
"Plant","summer","New England aster","Ripe fruits","NY",1
"Plant","summer","New York ironweed","Ripe fruits","NY",1
"Plant","summer","northern bayberry","Ripe fruits","MA",9
"Plant","summer","northern red oak","Recent fruit or seed drop","NY",7
"Plant","summer","northern red oak","Ripe fruits","NY",4
"Plant","summer","olive","Recent fruit or seed drop","CA",3
"Plant","summer","olive","Ripe fruits","CA",3
"Plant","summer","oneseed juniper","Recent cone or seed drop","NM",1
"Plant","summer","orange bush monkeyflower","Recent fruit or seed drop","CA",2
"Plant","summer","orange bush monkeyflower","Ripe fruits","CA",2
"Plant","summer","rubber rabbitbrush","Recent fruit or seed drop","NM",1
"Plant","summer","rubber rabbitbrush","Ripe fruits","NM",1
"Plant","summer","screwbean mesquite","Recent fruit or seed drop","NM",1
"Plant","summer","screwbean mesquite","Ripe fruits","NM",1
"Plant","summer","sweetgum","Recent fruit or seed drop","TX",1
"Plant","summer","sweetgum","Ripe fruits","TN",2
"Plant","summer","sweetgum","Ripe fruits","TX",1
"Plant","summer","toyon","Recent fruit or seed drop","CA",4
"Plant","summer","toyon","Ripe fruits","CA",6
"Plant","summer","tree cholla","Recent fruit or seed drop","NM",1
"Plant","summer","tree cholla","Ripe fruits","NM",1
"Plant","summer","tuliptree","Recent fruit or seed drop","NY",2
"Plant","summer","tuliptree","Ripe fruits","NY",5
"Plant","summer","tuliptree","Ripe fruits","TN",1
"Plant","summer","white heath aster","Ripe fruits","NY",1
"Plant","summer","white wood aster","Recent fruit or seed drop","NY",2
"Plant","summer","white wood aster","Ripe fruits","NY",2
