kingdom,group,common_name,phenophase_description,site_id,latitude,longitude,n
Animalia,Bird,American crow,Calls or song (birds),17707,37.360123,-122.128151,9
Animalia,Bird,American crow,Live individuals,17707,37.360123,-122.128151,9
Animalia,Bird,American goldfinch,Calls or song (birds),5428,48.033489,-122.598724,9
Animalia,Bird,American goldfinch,Calls or song (birds),8736,44.903229,-93.217445,9
Animalia,Bird,American goldfinch,Fruit/seed consumption,1897,40.64323,-75.315399,9
Animalia,Bird,American goldfinch,Fruit/seed consumption,6481,42.456135,-72.344215,9
Animalia,Bird,American goldfinch,Individuals at a feeding station,1897,40.64323,-75.315399,9
Animalia,Bird,American goldfinch,Live individuals,1897,40.64323,-75.315399,9
Animalia,Bird,American goldfinch,Live individuals,9652,44.768246,-94.155746,9
Animalia,Bird,American goldfinch,Singing individuals (birds),10145,42.602543,-83.250992,9
Animalia,Bird,American kestrel,Live individuals,22740,38.525036,-121.970711,9
Animalia,Bird,American redstart,Calls or song (birds),10145,42.602543,-83.250992,9
Animalia,Bird,American robin,Calls or song (birds),5262,42.442348,-72.346504,9
Animalia,Bird,American robin,Fruit/seed consumption,2803,39.971001,-105.397003,9
Animalia,Bird,American robin,Fruit/seed consumption,8418,32.363758,-94.873947,9
Animalia,Bird,American robin,Fruit/seed consumption,10145,42.602543,-83.250992,9
Animalia,Bird,American robin,Individuals at a feeding station,1419,42.011166,-88.503304,9
Animalia,Bird,American robin,Insect consumption,10717,38.285664,-111.246605,9
Animalia,Bird,American robin,Live individuals,5582,45.195858,-70.45369,9
Animalia,Bird,American robin,Live individuals,6481,42.456135,-72.344215,9
Animalia,Bird,American woodcock,Calls or song (birds),5261,42.448402,-72.345314,9
Animalia,Bird,Anna's hummingbird,Calls or song (birds),5428,48.033489,-122.598724,9
Animalia,Bird,Anna's hummingbird,Calls or song (birds),12725,37.360928,-122.130836,9
Animalia,Bird,Anna's hummingbird,Calls or song (birds),22740,38.525036,-121.970711,9
Animalia,Bird,Anna's hummingbird,Calls or song (birds),22858,38.09404,-122.37149,9
Animalia,Bird,Anna's hummingbird,Flower visitation,6102,32.23188,-110.951012,9
Animalia,Bird,Anna's hummingbird,Flower visitation,20765,33.632149,-117.55545,9
Animalia,Bird,Anna's hummingbird,Live individuals,6102,32.23188,-110.951012,9
Animalia,Bird,Anna's hummingbird,Live individuals,12725,37.360928,-122.130836,9
Animalia,Bird,Anna's hummingbird,Live individuals,22858,38.09404,-122.37149,9
Animalia,Bird,Anna's hummingbird,Singing individuals (birds),20765,33.632149,-117.55545,9
Animalia,Bird,Baltimore oriole,Calls or song (birds),1447,42.176537,-85.892448,9
Animalia,Bird,Baltimore oriole,Live individuals,10145,42.602543,-83.250992,9
Animalia,Bird,California scrub-jay,Calls or song (birds),22740,38.525036,-121.970711,9
Animalia,Bird,California scrub-jay,Live individuals,22740,38.525036,-121.970711,9
Animalia,Bird,Carolina chickadee,Calls or song (birds),8418,32.363758,-94.873947,9
Animalia,Bird,Carolina chickadee,Calls or song (birds),9341,35.639874,-83.687721,9
Animalia,Bird,Carolina chickadee,Calls or song (birds),9344,35.640373,-83.692863,9
Animalia,Bird,Carolina chickadee,Fruit/seed consumption,8418,32.363758,-94.873947,9
Animalia,Bird,Carolina chickadee,Individuals at a feeding station,8418,32.363758,-94.873947,9
Animalia,Bird,Carolina chickadee,Live individuals,8418,32.363758,-94.873947,9
Animalia,Bird,Carolina wren,Calls or song (birds),8418,32.363758,-94.873947,9
Animalia,Bird,Carolina wren,Fruit/seed consumption,8418,32.363758,-94.873947,9
Animalia,Bird,Carolina wren,Fruit/seed consumption,8923,42.286381,-72.653831,9
Animalia,Bird,Carolina wren,Individuals at a feeding station,8418,32.363758,-94.873947,9
