"site_id","latitude","longitude","species_id","genus","species","common_name","kingdom","individual_id","phenophase_id","phenophase_description","first_yes_year","first_yes_month","first_yes_day","first_yes_doy","first_yes_julian_date","numdays_since_prior_no","ind_phen","phenophase","state","series_yrs","first_yes_date","yeartype","dop","year","resident","present_jan1","ind_phen_year"
1419,42.011166,-88.503304,244,"Charadrius","vociferus","killdeer","Animalia",10286,293,"Calls or song (birds)",2011,3,23,82,2455644,14,"10286_Calls or song (birds)","Adults observed","IL",10,2011-03-23,"calendar",82,2011,FALSE,0,"10286_Calls or song (birds)_2011"
5582,45.195858,-70.45369,243,"Gavia","immer","common loon","Animalia",12467,293,"Calls or song (birds)",2011,5,8,128,2455690,7,"12467_Calls or song (birds)","Adults observed","ME",12,2011-05-08,"calendar",128,2011,FALSE,0,"12467_Calls or song (birds)_2011"
5583,45.196041,-70.459015,243,"Gavia","immer","common loon","Animalia",12472,292,"Live individuals",2011,6,4,155,2455717,13,"12472_Live individuals","Adults observed","ME",12,2011-06-04,"calendar",155,2011,FALSE,0,"12472_Live individuals_2011"
2803,39.971001,-105.397003,246,"Turdus","migratorius","American robin","Animalia",16046,292,"Live individuals",2011,9,8,251,2455813,5,"16046_Live individuals","Adults observed","CO",15,2011-09-08,"calendar",251,2011,FALSE,0,"16046_Live individuals_2011"
2803,39.971001,-105.397003,357,"Sialia","mexicana","western bluebird","Animalia",16214,292,"Live individuals",2011,9,22,265,2455827,4,"16214_Live individuals","Adults observed","CO",14,2011-09-22,"calendar",265,2011,FALSE,0,"16214_Live individuals_2011"
1419,42.011166,-88.503304,244,"Charadrius","vociferus","killdeer","Animalia",10286,293,"Calls or song (birds)",2012,3,15,75,2456002,3,"10286_Calls or song (birds)","Adults observed","IL",10,2012-03-15,"calendar",75,2012,FALSE,0,"10286_Calls or song (birds)_2012"
5582,45.195858,-70.45369,243,"Gavia","immer","common loon","Animalia",12467,293,"Calls or song (birds)",2012,4,14,105,2456032,14,"12467_Calls or song (birds)","Adults observed","ME",12,2012-04-14,"calendar",105,2012,FALSE,0,"12467_Calls or song (birds)_2012"
5583,45.196041,-70.459015,243,"Gavia","immer","common loon","Animalia",12472,292,"Live individuals",2012,4,14,105,2456032,14,"12472_Live individuals","Adults observed","ME",12,2012-04-14,"calendar",105,2012,FALSE,0,"12472_Live individuals_2012"
5674,44.910587,-70.266861,352,"Archilochus","colubris","ruby-throated hummingbird","Animalia",12712,292,"Live individuals",2012,5,13,134,2456061,7,"12712_Live individuals","Adults observed","ME",14,2012-05-13,"calendar",134,2012,FALSE,0,"12712_Live individuals_2012"
2803,39.971001,-105.397003,246,"Turdus","migratorius","American robin","Animalia",16046,292,"Live individuals",2012,2,1,32,2455959,3,"16046_Live individuals","Adults observed","CO",15,2012-02-01,"calendar",32,2012,FALSE,0,"16046_Live individuals_2012"
