"site_id","latitude","longitude","elevation_in_meters","state","species_id","genus","species","common_name","kingdom","individual_id","phenophase_id","phenophase_description","first_yes_year","first_yes_month","first_yes_day","first_yes_doy","first_yes_julian_date","numdays_since_prior_no","last_yes_year","last_yes_month","last_yes_day","last_yes_doy","last_yes_julian_date","numdays_until_next_no","ind_phen","phenophase","ind_phen_year","series_yrs"
1447,42.176537,-85.892448,234,"MI",337,"Pseudacris","crucifer","spring peeper","Animalia",11253,276,"Vocalizing",2011,4,30,120,2455682,7,2011,5,13,133,2455695,15,"11253_Vocalizing","Calls or songs","11253_Vocalizing_2011",10
6362,43.012966,-73.649918,108,"NY",307,"Lithobates","clamitans","green frog","Animalia",17986,276,"Vocalizing",2011,5,16,136,2455698,7,2011,8,1,213,2455775,10,"17986_Vocalizing","Calls or songs","17986_Vocalizing_2011",12
1447,42.176537,-85.892448,234,"MI",337,"Pseudacris","crucifer","spring peeper","Animalia",11253,276,"Vocalizing",2012,3,17,77,2456004,7,2012,3,24,84,2456011,15,"11253_Vocalizing","Calls or songs","11253_Vocalizing_2012",10
6362,43.012966,-73.649918,108,"NY",307,"Lithobates","clamitans","green frog","Animalia",17986,276,"Vocalizing",2012,4,16,107,2456034,6,2012,4,16,107,2456034,1,"17986_Vocalizing","Calls or songs","17986_Vocalizing_2012",12
8496,46.328629,-96.061256,393,"MN",421,"Thamnophis","sirtalis","common gartersnake","Animalia",25782,355,"Individuals on land (rock/log)",2012,4,24,115,2456042,2,2012,4,24,115,2456042,2,"25782_Individuals on land (rock/log)","Adults observed","25782_Individuals on land (rock/log)_2012",12
1447,42.176537,-85.892448,234,"MI",337,"Pseudacris","crucifer","spring peeper","Animalia",11253,276,"Vocalizing",2013,4,9,99,2456392,3,2013,4,27,117,2456410,7,"11253_Vocalizing","Calls or songs","11253_Vocalizing_2013",10
6362,43.012966,-73.649918,108,"NY",307,"Lithobates","clamitans","green frog","Animalia",17986,276,"Vocalizing",2013,5,6,126,2456419,4,2013,7,29,210,2456503,14,"17986_Vocalizing","Calls or songs","17986_Vocalizing_2013",12
8496,46.328629,-96.061256,393,"MN",421,"Thamnophis","sirtalis","common gartersnake","Animalia",25782,355,"Individuals on land (rock/log)",2013,5,15,135,2456428,2,2013,5,17,137,2456430,3,"25782_Individuals on land (rock/log)","Adults observed","25782_Individuals on land (rock/log)_2013",12
10145,42.602543,-83.250992,277,"MI",230,"Anaxyrus","americanus","American toad","Animalia",38841,274,"Adults on land",2013,5,2,122,2456415,1,2013,5,2,122,2456415,1,"38841_Adults on land","Adults observed","38841_Adults on land_2013",11
1447,42.176537,-85.892448,234,"MI",337,"Pseudacris","crucifer","spring peeper","Animalia",11253,276,"Vocalizing",2014,4,13,103,2456761,13,2014,4,13,103,2456761,11,"11253_Vocalizing","Calls or songs","11253_Vocalizing_2014",10
6362,43.012966,-73.649918,108,"NY",307,"Lithobates","clamitans","green frog","Animalia",17986,276,"Vocalizing",2014,5,12,132,2456790,4,2014,5,12,132,2456790,2,"17986_Vocalizing","Calls or songs","17986_Vocalizing_2014",12
8496,46.328629,-96.061256,393,"MN",421,"Thamnophis","sirtalis","common gartersnake","Animalia",25782,355,"Individuals on land (rock/log)",2014,6,13,164,2456822,5,2014,6,22,173,2456831,4,"25782_Individuals on land (rock/log)","Adults observed","25782_Individuals on land (rock/log)_2014",12
10145,42.602543,-83.250992,277,"MI",230,"Anaxyrus","americanus","American toad","Animalia",38841,274,"Adults on land",2014,6,9,160,2456818,1,2014,6,9,160,2456818,2,"38841_Adults on land","Adults observed","38841_Adults on land_2014",11
10145,42.602543,-83.250992,277,"MI",280,"Chrysemys","picta","painted turtle","Animalia",38933,355,"Individuals on land (rock/log)",2014,5,4,124,2456782,1,2014,5,4,124,2456782,1,"38933_Individuals on land (rock/log)","Adults observed","38933_Individuals on land (rock/log)_2014",9
