"site_id","latitude","longitude","elevation_in_meters","state","species_id","genus","species","common_name","kingdom","individual_id","phenophase_id","phenophase_description","first_yes_year","first_yes_month","first_yes_day","first_yes_doy","first_yes_julian_date","numdays_since_prior_no","last_yes_year","last_yes_month","last_yes_day","last_yes_doy","last_yes_julian_date","numdays_until_next_no","ind_phen","phenophase","summer_year","first_yes_date","dosy","dop","year","series_yrs","seasonally_inactive","active_jan1","ind_phen_year"
1419,42.011166,-88.503304,280,"IL",271,"Tamias","striatus","eastern chipmunk","Animalia",10285,292,"Live individuals",2011,3,9,68,2455630,2,2011,3,31,90,2455652,2,"10285_Live individuals","Adults observed",2011,2011-03-09,252,68,2011,15,"torpor",0,"10285_Live individuals_2011"
2803,39.971001,-105.397003,2329,"CO",405,"Tamias","minimus","least chipmunk","Animalia",16052,292,"Live individuals",2011,9,1,244,2455806,NA,2011,9,8,251,2455813,3,"16052_Live individuals","Adults observed",2012,2011-09-01,63,244,2011,15,"torpor",0,"16052_Live individuals_2011"
1419,42.011166,-88.503304,280,"IL",271,"Tamias","striatus","eastern chipmunk","Animalia",10285,292,"Live individuals",2012,3,6,66,2455993,3,2012,3,6,66,2455993,1,"10285_Live individuals","Adults observed",2012,2012-03-06,250,66,2012,15,"torpor",0,"10285_Live individuals_2012"
2803,39.971001,-105.397003,2329,"CO",405,"Tamias","minimus","least chipmunk","Animalia",16052,292,"Live individuals",2012,3,25,85,2456012,2,2012,8,12,225,2456152,7,"16052_Live individuals","Adults observed",2012,2012-03-25,269,85,2012,15,"torpor",0,"16052_Live individuals_2012"
6581,42.545959,-71.354904,58,"MA",271,"Tamias","striatus","eastern chipmunk","Animalia",20141,292,"Live individuals",2012,5,3,124,2456051,NA,2012,9,23,267,2456194,NA,"20141_Live individuals","Adults observed",2012,2012-05-03,308,124,2012,9,"torpor",0,"20141_Live individuals_2012"
1419,42.011166,-88.503304,280,"IL",271,"Tamias","striatus","eastern chipmunk","Animalia",10285,292,"Live individuals",2013,3,23,82,2456375,7,2013,3,28,87,2456380,2,"10285_Live individuals","Adults observed",2013,2013-03-23,266,82,2013,15,"torpor",0,"10285_Live individuals_2013"
2803,39.971001,-105.397003,2329,"CO",405,"Tamias","minimus","least chipmunk","Animalia",16052,292,"Live individuals",2013,4,6,96,2456389,2,2013,4,12,102,2456395,2,"16052_Live individuals","Adults observed",2013,2013-04-06,280,96,2013,15,"torpor",0,"16052_Live individuals_2013"
6581,42.545959,-71.354904,58,"MA",271,"Tamias","striatus","eastern chipmunk","Animalia",20141,292,"Live individuals",2013,3,13,72,2456365,NA,2013,10,29,302,2456595,NA,"20141_Live individuals","Adults observed",2013,2013-03-13,256,72,2013,9,"torpor",0,"20141_Live individuals_2013"
10145,42.602543,-83.250992,277,"MI",271,"Tamias","striatus","eastern chipmunk","Animalia",38883,292,"Live individuals",2013,5,2,122,2456415,1,2013,5,3,123,2456416,1,"38883_Live individuals","Adults observed",2013,2013-05-02,306,122,2013,13,"torpor",0,"38883_Live individuals_2013"
10145,42.602543,-83.250992,277,"MI",266,"Marmota","monax","woodchuck","Animalia",38980,292,"Live individuals",2013,4,8,98,2456391,NA,2013,4,8,98,2456391,1,"38980_Live individuals","Adults observed",2013,2013-04-08,282,98,2013,13,"hibernate",0,"38980_Live individuals_2013"
10717,38.285664,-111.246605,1790,"UT",263,"Marmota","flaviventris","yellow-bellied marmot","Animalia",42594,292,"Live individuals",2013,4,28,118,2456411,NA,2013,5,5,125,2456418,9,"42594_Live individuals","Adults observed",2013,2013-04-28,302,118,2013,11,"hibernate",0,"42594_Live individuals_2013"
1419,42.011166,-88.503304,280,"IL",271,"Tamias","striatus","eastern chipmunk","Animalia",10285,292,"Live individuals",2014,3,15,74,2456732,17,2014,3,22,81,2456739,11,"10285_Live individuals","Adults observed",2014,2014-03-15,258,74,2014,15,"torpor",0,"10285_Live individuals_2014"
2803,39.971001,-105.397003,2329,"CO",405,"Tamias","minimus","least chipmunk","Animalia",16052,292,"Live individuals",2014,4,12,102,2456760,2,2014,5,9,129,2456787,3,"16052_Live individuals","Adults observed",2014,2014-04-12,286,102,2014,15,"torpor",0,"16052_Live individuals_2014"
6581,42.545959,-71.354904,58,"MA",271,"Tamias","striatus","eastern chipmunk","Animalia",20141,292,"Live individuals",2014,5,5,125,2456783,NA,2014,10,12,285,2456943,NA,"20141_Live individuals","Adults observed",2014,2014-05-05,309,125,2014,9,"torpor",0,"20141_Live individuals_2014"
10145,42.602543,-83.250992,277,"MI",271,"Tamias","striatus","eastern chipmunk","Animalia",38883,292,"Live individuals",2014,3,19,78,2456736,NA,2014,3,19,78,2456736,1,"38883_Live individuals","Adults observed",2014,2014-03-19,262,78,2014,13,"torpor",0,"38883_Live individuals_2014"
10145,42.602543,-83.250992,277,"MI",266,"Marmota","monax","woodchuck","Animalia",38980,292,"Live individuals",2014,4,11,101,2456759,NA,2014,4,11,101,2456759,2,"38980_Live individuals","Adults observed",2014,2014-04-11,285,101,2014,13,"hibernate",0,"38980_Live individuals_2014"
