"site_id","latitude","longitude","elevation_in_meters","state","species_id","genus","species","common_name","kingdom","individual_id","phenophase_id","phenophase_description","first_yes_year","first_yes_month","first_yes_day","first_yes_doy","first_yes_julian_date","numdays_since_prior_no","last_yes_year","last_yes_month","last_yes_day","last_yes_doy","last_yes_julian_date","numdays_until_next_no","ind_phen","phenophase","summer_year","first_yes_date","dosy","dop","year","series_yrs","seasonally_inactive","active_jan1","ind_phen_year"
1419,42.011166,-88.503304,280,"IL",271,"Tamias","striatus","eastern chipmunk","Animalia",10285,292,"Live individuals",2011,3,9,68,2455630,2,2011,3,31,90,2455652,2,"10285_Live individuals","Adults observed",2011,2011-03-09,252,68,2011,13,"torpor",0,"10285_Live individuals_2011"
2803,39.971001,-105.397003,2329,"CO",405,"Tamias","minimus","least chipmunk","Animalia",16052,292,"Live individuals",2011,9,15,258,2455820,4,2011,10,9,282,2455844,4,"16052_Live individuals","Adults observed",2012,2011-09-15,77,258,2011,15,"torpor",0,"16052_Live individuals_2011"
1419,42.011166,-88.503304,280,"IL",271,"Tamias","striatus","eastern chipmunk","Animalia",10285,292,"Live individuals",2012,3,6,66,2455993,3,2012,3,6,66,2455993,1,"10285_Live individuals","Adults observed",2012,2012-03-06,250,66,2012,13,"torpor",0,"10285_Live individuals_2012"
2803,39.971001,-105.397003,2329,"CO",405,"Tamias","minimus","least chipmunk","Animalia",16052,292,"Live individuals",2012,3,25,85,2456012,2,2012,8,12,225,2456152,7,"16052_Live individuals","Adults observed",2012,2012-03-25,269,85,2012,15,"torpor",0,"16052_Live individuals_2012"
1419,42.011166,-88.503304,280,"IL",271,"Tamias","striatus","eastern chipmunk","Animalia",10285,292,"Live individuals",2013,3,23,82,2456375,7,2013,3,28,87,2456380,2,"10285_Live individuals","Adults observed",2013,2013-03-23,266,82,2013,13,"torpor",0,"10285_Live individuals_2013"
2803,39.971001,-105.397003,2329,"CO",405,"Tamias","minimus","least chipmunk","Animalia",16052,292,"Live individuals",2013,4,6,96,2456389,2,2013,4,12,102,2456395,2,"16052_Live individuals","Adults observed",2013,2013-04-06,280,96,2013,15,"torpor",0,"16052_Live individuals_2013"
10145,42.602543,-83.250992,277,"MI",271,"Tamias","striatus","eastern chipmunk","Animalia",38883,292,"Live individuals",2013,5,2,122,2456415,1,2013,5,3,123,2456416,1,"38883_Live individuals","Adults observed",2013,2013-05-02,306,122,2013,13,"torpor",0,"38883_Live individuals_2013"
10145,42.602543,-83.250992,277,"MI",266,"Marmota","monax","woodchuck","Animalia",38980,292,"Live individuals",2013,4,23,113,2456406,1,2013,4,23,113,2456406,1,"38980_Live individuals","Adults observed",2013,2013-04-23,297,113,2013,13,"hibernate",0,"38980_Live individuals_2013"
1419,42.011166,-88.503304,280,"IL",271,"Tamias","striatus","eastern chipmunk","Animalia",10285,292,"Live individuals",2014,11,8,312,2456970,5,2014,11,8,312,2456970,8,"10285_Live individuals","Adults observed",2015,2014-11-08,131,312,2014,13,"torpor",0,"10285_Live individuals_2014"
2803,39.971001,-105.397003,2329,"CO",405,"Tamias","minimus","least chipmunk","Animalia",16052,292,"Live individuals",2014,4,12,102,2456760,2,2014,5,9,129,2456787,3,"16052_Live individuals","Adults observed",2014,2014-04-12,286,102,2014,15,"torpor",0,"16052_Live individuals_2014"
10145,42.602543,-83.250992,277,"MI",271,"Tamias","striatus","eastern chipmunk","Animalia",38883,292,"Live individuals",2014,3,28,87,2456745,1,2014,3,28,87,2456745,2,"38883_Live individuals","Adults observed",2014,2014-03-28,271,87,2014,13,"torpor",0,"38883_Live individuals_2014"
10145,42.602543,-83.250992,277,"MI",266,"Marmota","monax","woodchuck","Animalia",38980,292,"Live individuals",2014,5,18,138,2456796,2,2014,5,18,138,2456796,1,"38980_Live individuals","Adults observed",2014,2014-05-18,322,138,2014,13,"hibernate",0,"38980_Live individuals_2014"
1419,42.011166,-88.503304,280,"IL",271,"Tamias","striatus","eastern chipmunk","Animalia",10285,292,"Live individuals",2015,5,2,122,2457145,6,2015,6,23,174,2457197,7,"10285_Live individuals","Adults observed",2015,2015-05-02,306,122,2015,13,"torpor",0,"10285_Live individuals_2015"
2803,39.971001,-105.397003,2329,"CO",405,"Tamias","minimus","least chipmunk","Animalia",16052,292,"Live individuals",2015,3,14,73,2457096,6,2015,3,22,81,2457104,11,"16052_Live individuals","Adults observed",2015,2015-03-14,257,73,2015,15,"torpor",0,"16052_Live individuals_2015"
10145,42.602543,-83.250992,277,"MI",271,"Tamias","striatus","eastern chipmunk","Animalia",38883,292,"Live individuals",2015,6,15,166,2457189,4,2015,6,15,166,2457189,1,"38883_Live individuals","Adults observed",2015,2015-06-15,350,166,2015,13,"torpor",0,"38883_Live individuals_2015"
10145,42.602543,-83.250992,277,"MI",266,"Marmota","monax","woodchuck","Animalia",38980,292,"Live individuals",2015,5,8,128,2457151,1,2015,5,10,130,2457153,1,"38980_Live individuals","Adults observed",2015,2015-05-08,312,128,2015,13,"hibernate",0,"38980_Live individuals_2015"
1419,42.011166,-88.503304,280,"IL",271,"Tamias","striatus","eastern chipmunk","Animalia",10285,292,"Live individuals",2016,4,16,107,2457495,1,2016,5,28,149,2457537,7,"10285_Live individuals","Adults observed",2016,2016-04-16,291,107,2016,13,"torpor",0,"10285_Live individuals_2016"
2803,39.971001,-105.397003,2329,"CO",405,"Tamias","minimus","least chipmunk","Animalia",16052,292,"Live individuals",2016,4,7,98,2457486,4,2016,4,10,101,2457489,14,"16052_Live individuals","Adults observed",2016,2016-04-07,282,98,2016,15,"torpor",0,"16052_Live individuals_2016"
10145,42.602543,-83.250992,277,"MI",271,"Tamias","striatus","eastern chipmunk","Animalia",38883,292,"Live individuals",2016,5,16,137,2457525,1,2016,5,16,137,2457525,1,"38883_Live individuals","Adults observed",2016,2016-05-16,321,137,2016,13,"torpor",0,"38883_Live individuals_2016"
10145,42.602543,-83.250992,277,"MI",266,"Marmota","monax","woodchuck","Animalia",38980,292,"Live individuals",2016,4,9,100,2457488,1,2016,4,9,100,2457488,2,"38980_Live individuals","Adults observed",2016,2016-04-09,284,100,2016,13,"hibernate",0,"38980_Live individuals_2016"
1419,42.011166,-88.503304,280,"IL",271,"Tamias","striatus","eastern chipmunk","Animalia",10285,292,"Live individuals",2017,3,10,69,2457823,5,2017,10,7,280,2458034,NA,"10285_Live individuals","Adults observed",2017,2017-03-10,253,69,2017,13,"torpor",0,"10285_Live individuals_2017"
2803,39.971001,-105.397003,2329,"CO",405,"Tamias","minimus","least chipmunk","Animalia",16052,292,"Live individuals",2017,3,17,76,2457830,4,2017,3,19,78,2457832,5,"16052_Live individuals","Adults observed",2017,2017-03-17,260,76,2017,15,"torpor",0,"16052_Live individuals_2017"
10145,42.602543,-83.250992,277,"MI",271,"Tamias","striatus","eastern chipmunk","Animalia",38883,292,"Live individuals",2017,1,24,24,2457778,1,2017,1,25,25,2457779,1,"38883_Live individuals","Adults observed",2017,2017-01-24,208,24,2017,13,"torpor",0,"38883_Live individuals_2017"
10145,42.602543,-83.250992,277,"MI",266,"Marmota","monax","woodchuck","Animalia",38980,292,"Live individuals",2017,4,17,107,2457861,6,2017,4,17,107,2457861,1,"38980_Live individuals","Adults observed",2017,2017-04-17,291,107,2017,13,"hibernate",0,"38980_Live individuals_2017"
2803,39.971001,-105.397003,2329,"CO",405,"Tamias","minimus","least chipmunk","Animalia",16052,292,"Live individuals",2018,4,27,117,2458236,4,2018,4,30,120,2458239,4,"16052_Live individuals","Adults observed",2018,2018-04-27,301,117,2018,15,"torpor",0,"16052_Live individuals_2018"
10145,42.602543,-83.250992,277,"MI",271,"Tamias","striatus","eastern chipmunk","Animalia",38883,292,"Live individuals",2018,5,15,135,2458254,1,2018,5,15,135,2458254,1,"38883_Live individuals","Adults observed",2018,2018-05-15,319,135,2018,13,"torpor",0,"38883_Live individuals_2018"
10145,42.602543,-83.250992,277,"MI",266,"Marmota","monax","woodchuck","Animalia",38980,292,"Live individuals",2018,4,30,120,2458239,1,2018,5,1,121,2458240,1,"38980_Live individuals","Adults observed",2018,2018-04-30,304,120,2018,13,"hibernate",0,"38980_Live individuals_2018"
1419,42.011166,-88.503304,280,"IL",271,"Tamias","striatus","eastern chipmunk","Animalia",10285,292,"Live individuals",2019,7,1,182,2458666,5,2019,8,3,215,2458699,15,"10285_Live individuals","Adults observed",2020,2019-07-01,1,182,2019,13,"torpor",0,"10285_Live individuals_2019"
2803,39.971001,-105.397003,2329,"CO",405,"Tamias","minimus","least chipmunk","Animalia",16052,292,"Live individuals",2019,4,27,117,2458601,5,2019,5,6,126,2458610,5,"16052_Live individuals","Adults observed",2019,2019-04-27,301,117,2019,15,"torpor",0,"16052_Live individuals_2019"
10145,42.602543,-83.250992,277,"MI",271,"Tamias","striatus","eastern chipmunk","Animalia",38883,292,"Live individuals",2019,4,2,92,2458576,1,2019,4,2,92,2458576,1,"38883_Live individuals","Adults observed",2019,2019-04-02,276,92,2019,13,"torpor",0,"38883_Live individuals_2019"
10145,42.602543,-83.250992,277,"MI",266,"Marmota","monax","woodchuck","Animalia",38980,292,"Live individuals",2019,4,8,98,2458582,1,2019,4,8,98,2458582,1,"38980_Live individuals","Adults observed",2019,2019-04-08,282,98,2019,13,"hibernate",0,"38980_Live individuals_2019"
1419,42.011166,-88.503304,280,"IL",271,"Tamias","striatus","eastern chipmunk","Animalia",10285,292,"Live individuals",2020,5,29,150,2458999,4,2020,5,29,150,2458999,3,"10285_Live individuals","Adults observed",2020,2020-05-29,334,150,2020,13,"torpor",0,"10285_Live individuals_2020"
2803,39.971001,-105.397003,2329,"CO",405,"Tamias","minimus","least chipmunk","Animalia",16052,292,"Live individuals",2020,3,18,78,2458927,4,2020,5,8,129,2458978,4,"16052_Live individuals","Adults observed",2020,2020-03-18,262,78,2020,15,"torpor",0,"16052_Live individuals_2020"
10145,42.602543,-83.250992,277,"MI",271,"Tamias","striatus","eastern chipmunk","Animalia",38883,292,"Live individuals",2020,4,20,111,2458960,1,2020,4,20,111,2458960,1,"38883_Live individuals","Adults observed",2020,2020-04-20,295,111,2020,13,"torpor",0,"38883_Live individuals_2020"
10145,42.602543,-83.250992,277,"MI",266,"Marmota","monax","woodchuck","Animalia",38980,292,"Live individuals",2020,3,31,91,2458940,1,2020,4,3,94,2458943,1,"38980_Live individuals","Adults observed",2020,2020-03-31,275,91,2020,13,"hibernate",0,"38980_Live individuals_2020"
1419,42.011166,-88.503304,280,"IL",271,"Tamias","striatus","eastern chipmunk","Animalia",10285,292,"Live individuals",2021,7,3,184,2459399,3,2021,7,3,184,2459399,NA,"10285_Live individuals","Adults observed",2022,2021-07-03,3,184,2021,13,"torpor",0,"10285_Live individuals_2021"
2803,39.971001,-105.397003,2329,"CO",405,"Tamias","minimus","least chipmunk","Animalia",16052,292,"Live individuals",2021,10,16,289,2459504,5,2021,11,8,312,2459527,10,"16052_Live individuals","Adults observed",2022,2021-10-16,108,289,2021,15,"torpor",0,"16052_Live individuals_2021"
10145,42.602543,-83.250992,277,"MI",271,"Tamias","striatus","eastern chipmunk","Animalia",38883,292,"Live individuals",2021,5,17,137,2459352,4,2021,5,17,137,2459352,1,"38883_Live individuals","Adults observed",2021,2021-05-17,321,137,2021,13,"torpor",0,"38883_Live individuals_2021"
10145,42.602543,-83.250992,277,"MI",266,"Marmota","monax","woodchuck","Animalia",38980,292,"Live individuals",2021,4,17,107,2459322,1,2021,4,17,107,2459322,1,"38980_Live individuals","Adults observed",2021,2021-04-17,291,107,2021,13,"hibernate",0,"38980_Live individuals_2021"
1419,42.011166,-88.503304,280,"IL",271,"Tamias","striatus","eastern chipmunk","Animalia",10285,292,"Live individuals",2022,5,27,147,2459727,4,2022,6,7,158,2459738,5,"10285_Live individuals","Adults observed",2022,2022-05-27,331,147,2022,13,"torpor",0,"10285_Live individuals_2022"
2803,39.971001,-105.397003,2329,"CO",405,"Tamias","minimus","least chipmunk","Animalia",16052,292,"Live individuals",2022,11,1,305,2459885,4,2022,11,4,308,2459888,6,"16052_Live individuals","Adults observed",2023,2022-11-01,124,305,2022,15,"torpor",0,"16052_Live individuals_2022"
10145,42.602543,-83.250992,277,"MI",271,"Tamias","striatus","eastern chipmunk","Animalia",38883,292,"Live individuals",2022,4,17,107,2459687,1,2022,4,17,107,2459687,1,"38883_Live individuals","Adults observed",2022,2022-04-17,291,107,2022,13,"torpor",0,"38883_Live individuals_2022"
10145,42.602543,-83.250992,277,"MI",266,"Marmota","monax","woodchuck","Animalia",38980,292,"Live individuals",2022,4,10,100,2459680,1,2022,4,10,100,2459680,1,"38980_Live individuals","Adults observed",2022,2022-04-10,284,100,2022,13,"hibernate",0,"38980_Live individuals_2022"
1419,42.011166,-88.503304,280,"IL",271,"Tamias","striatus","eastern chipmunk","Animalia",10285,292,"Live individuals",2023,9,30,273,2460218,2,2023,9,30,273,2460218,1,"10285_Live individuals","Adults observed",2024,2023-09-30,92,273,2023,13,"torpor",0,"10285_Live individuals_2023"
2803,39.971001,-105.397003,2329,"CO",405,"Tamias","minimus","least chipmunk","Animalia",16052,292,"Live individuals",2023,3,17,76,2460021,6,2023,11,4,308,2460253,5,"16052_Live individuals","Adults observed",2023,2023-03-17,260,76,2023,15,"torpor",0,"16052_Live individuals_2023"
10145,42.602543,-83.250992,277,"MI",271,"Tamias","striatus","eastern chipmunk","Animalia",38883,292,"Live individuals",2023,5,30,150,2460095,1,2023,5,30,150,2460095,1,"38883_Live individuals","Adults observed",2023,2023-05-30,334,150,2023,13,"torpor",0,"38883_Live individuals_2023"
10145,42.602543,-83.250992,277,"MI",266,"Marmota","monax","woodchuck","Animalia",38980,292,"Live individuals",2023,5,3,123,2460068,1,2023,5,3,123,2460068,1,"38980_Live individuals","Adults observed",2023,2023-05-03,307,123,2023,13,"hibernate",0,"38980_Live individuals_2023"
1419,42.011166,-88.503304,280,"IL",271,"Tamias","striatus","eastern chipmunk","Animalia",10285,292,"Live individuals",2024,8,13,226,2460536,1,2024,8,25,238,2460548,43,"10285_Live individuals","Adults observed",2025,2024-08-13,44,226,2024,13,"torpor",0,"10285_Live individuals_2024"
2803,39.971001,-105.397003,2329,"CO",405,"Tamias","minimus","least chipmunk","Animalia",16052,292,"Live individuals",2024,4,30,121,2460431,1,2024,9,6,250,2460560,35,"16052_Live individuals","Adults observed",2024,2024-04-30,305,121,2024,15,"torpor",0,"16052_Live individuals_2024"
10145,42.602543,-83.250992,277,"MI",271,"Tamias","striatus","eastern chipmunk","Animalia",38883,292,"Live individuals",2024,3,13,73,2460383,1,2024,3,13,73,2460383,1,"38883_Live individuals","Adults observed",2024,2024-03-13,257,73,2024,13,"torpor",0,"38883_Live individuals_2024"
10145,42.602543,-83.250992,277,"MI",266,"Marmota","monax","woodchuck","Animalia",38980,292,"Live individuals",2024,5,19,140,2460450,1,2024,5,19,140,2460450,1,"38980_Live individuals","Adults observed",2024,2024-05-19,324,140,2024,13,"hibernate",0,"38980_Live individuals_2024"
2803,39.971001,-105.397003,2329,"CO",405,"Tamias","minimus","least chipmunk","Animalia",16052,292,"Live individuals",2025,3,20,79,2460755,3,2025,10,8,281,2460957,NA,"16052_Live individuals","Adults observed",2025,2025-03-20,263,79,2025,15,"torpor",0,"16052_Live individuals_2025"
10145,42.602543,-83.250992,277,"MI",271,"Tamias","striatus","eastern chipmunk","Animalia",38883,292,"Live individuals",2025,6,4,155,2460831,1,2025,6,4,155,2460831,1,"38883_Live individuals","Adults observed",2025,2025-06-04,339,155,2025,13,"torpor",0,"38883_Live individuals_2025"
10145,42.602543,-83.250992,277,"MI",266,"Marmota","monax","woodchuck","Animalia",38980,292,"Live individuals",2025,5,15,135,2460811,1,2025,5,15,135,2460811,1,"38980_Live individuals","Adults observed",2025,2025-05-15,319,135,2025,13,"hibernate",0,"38980_Live individuals_2025"
2803,39.971001,-105.397003,2329,"CO",409,"Cervus","elaphus","elk","Animalia",16051,338,"Males vocalizing",2011,11,2,306,2455868,3,2011,11,2,306,2455868,1,"16051_Males vocalizing","Mating activity",2012,2011-11-02,125,125,2012,13,NA,NA,"16051_Males vocalizing_2012"
2803,39.971001,-105.397003,2329,"CO",409,"Cervus","elaphus","elk","Animalia",16051,344,"Young individuals",2011,11,2,306,2455868,3,2011,11,3,307,2455869,7,"16051_Young individuals","Young observed",2012,2011-11-02,125,306,2011,14,NA,NA,"16051_Young individuals_2011"
2803,39.971001,-105.397003,2329,"CO",405,"Tamias","minimus","least chipmunk","Animalia",16052,310,"Fruit/seed consumption",2011,9,18,261,2455823,3,2011,9,30,273,2455835,2,"16052_Fruit/seed consumption","Feeding",2012,2011-09-18,80,261,2011,15,NA,NA,"16052_Fruit/seed consumption_2011"
2803,39.971001,-105.397003,2329,"CO",405,"Tamias","minimus","least chipmunk","Animalia",16052,311,"Nut gathering",2011,9,22,265,2455827,4,2011,9,22,265,2455827,3,"16052_Nut gathering","Feeding",2012,2011-09-22,84,265,2011,14,NA,NA,"16052_Nut gathering_2011"
