"yeartype","functional_type","common_name","phenophase_id","phenophase_description","state","site_id","latitude","longitude","elevation_in_meters","earliest_yes_DOY","lastest_yes_DOY"
"water","Bird","American goldfinch",310,"Fruit/seed consumption","TX",8418,32.363758,-94.873947,108,1,365
"water","Bird","American robin",310,"Fruit/seed consumption","TX",8418,32.363758,-94.873947,108,6,357
"water","Bird","Anna's hummingbird",457,"Insect consumption","AZ",18529,33.630066,-112.147385,392,275,365
"water","Bird","black-capped chickadee",310,"Fruit/seed consumption","CO",2803,39.971001,-105.397003,2397,10,358
"water","Bird","curve-billed thrasher",457,"Insect consumption","AZ",18529,33.630066,-112.147385,392,275,365
"summer","Bird","dark-eyed junco",310,"Fruit/seed consumption","CO",2803,39.971001,-105.397003,2397,183,291
"water","Bird","dark-eyed junco",310,"Fruit/seed consumption","MA",8923,42.286381,-72.653831,38,5,344
"water","Bird","dark-eyed junco",310,"Fruit/seed consumption","MN",8736,44.903229,-93.217445,254,287,357
"water","Bird","dark-eyed junco",310,"Fruit/seed consumption","TX",8418,32.363758,-94.873947,108,1,358
"summer","Bird","oak titmouse",457,"Insect consumption","CA",22740,38.525036,-121.970711,39,182,275
"summer","Bird","ruby-crowned kinglet",457,"Insect consumption","CA",22740,38.525036,-121.970711,39,265,292
"water","Bird","yellow-rumped warbler",457,"Insect consumption","CA",22740,38.525036,-121.970711,39,28,348
"water","Cactus","buck-horn cholla",390,"Ripe fruits","AZ",24705,33.600445,-111.811867,533,275,337
"summer","Cactus","candy barrelcactus",390,"Ripe fruits","AZ",22311,32.33926,-110.981728,765,55,340
"summer","Deciduous broadleaf","Amur honeysuckle",390,"Ripe fruits","NY",16454,41.667408,-73.895546,39,252,309
"summer","Deciduous broadleaf","arroyo willow",501,"Open flowers","CA",8835,37.921116,-122.689323,0,2,354
"summer","Deciduous broadleaf","boxelder",390,"Ripe fruits","MN",8496,46.328629,-96.061256,388,230,283
"summer","Deciduous broadleaf","California buckeye",390,"Ripe fruits","CA",1380,34.457253,-119.709938,229,191,303
"summer","Deciduous broadleaf","California buckeye",390,"Ripe fruits","CA",6398,37.988838,-122.129555,39,223,325
"summer","Deciduous broadleaf","California buckeye",390,"Ripe fruits","CA",6399,37.978359,-122.126457,63,242,343
"summer","Deciduous broadleaf","California buckeye",390,"Ripe fruits","CA",8770,35.330288,-120.728859,84,301,360
"summer","Deciduous broadleaf","California wildrose",390,"Ripe fruits","CA",6399,37.978359,-122.126457,63,2,262
"summer","Deciduous broadleaf","common snowberry",390,"Ripe fruits","CA",6399,37.978359,-122.126457,63,183,257
"summer","Deciduous broadleaf","common snowberry",390,"Ripe fruits","WA",1274,47.754948,-122.357971,98,267,322
"summer","Deciduous broadleaf","common winterberry ",504,"Recent fruit or seed drop","ME",2,43.08535,-70.69133,12,261,298
"summer","Deciduous broadleaf","common winterberry ",504,"Recent fruit or seed drop","NY",16876,41.745537,-74.119392,89,230,309
"summer","Deciduous broadleaf","common winterberry ",390,"Ripe fruits","NY",16876,41.745537,-74.119392,89,183,262
"water","Deciduous broadleaf","eastern redbud",501,"Open flowers","NC",19380,35.811588,-78.713982,129,54,316
"water","Deciduous broadleaf","eastern redbud",501,"Open flowers","NC",22017,35.497227,-82.608856,673,79,136
"summer","Deciduous broadleaf","eastern redbud",504,"Recent fruit or seed drop","NC",19380,35.811588,-78.713982,129,200,350
"summer","Deciduous broadleaf","Japanese barberry",390,"Ripe fruits","NY",16454,41.667408,-73.895546,39,209,309
"summer","Deciduous broadleaf","Kousa dogwood",504,"Recent fruit or seed drop","CA",16902,38.376015,-122.508133,109,244,325
"summer","Deciduous broadleaf","Kousa dogwood",390,"Ripe fruits","CA",16902,38.376015,-122.508133,109,216,299
"summer","Deciduous broadleaf","northern red oak",504,"Recent fruit or seed drop","NY",1668,40.866283,-73.875717,21,200,283
"summer","Deciduous broadleaf","northern red oak",504,"Recent fruit or seed drop","NY",8460,43.09248,-73.591904,73,213,284
"summer","Deciduous broadleaf","northern red oak",504,"Recent fruit or seed drop","NY",16454,41.667408,-73.895546,39,199,295
"summer","Deciduous broadleaf","northern red oak",504,"Recent fruit or seed drop","NY",17414,42.936153,-73.433449,146,186,270
"summer","Deciduous broadleaf","smooth sumac",390,"Ripe fruits","MN",8496,46.328629,-96.061256,388,208,237
"water","Deciduous broadleaf","sweetgum",390,"Ripe fruits","NC",19380,35.811588,-78.713982,129,13,353
