"site_id","latitude","longitude","elevation_in_meters","state","species_id","genus","species","common_name","kingdom","individual_id","phenophase_id","phenophase_description","first_yes_year","first_yes_month","first_yes_day","first_yes_doy","first_yes_julian_date","numdays_since_prior_no","last_yes_year","last_yes_month","last_yes_day","last_yes_doy","last_yes_julian_date","numdays_until_next_no","yes_date","yeartype","water_year","dowy","summer_year","dosy","phenophase","functional_type","first_yes","year"
1915,41.78344,-73.732552,128,"NY",61,"Acer","saccharum","sugar maple","Plantae",3990,371,"Breaking leaf buds",2008,5,8,129,2454595,NA,2008,11,6,311,2454777,NA,2008-05-08,"calendar",NA,NA,NA,NA,"Leaf budburst","Deciduous broadleaf",129,2008
1915,41.78344,-73.732552,128,"NY",3,"Acer","rubrum","red maple","Plantae",3991,371,"Breaking leaf buds",2008,5,14,135,2454601,NA,2008,11,6,311,2454777,NA,2008-05-14,"calendar",NA,NA,NA,NA,"Leaf budburst","Deciduous broadleaf",135,2008
1915,41.78344,-73.732552,128,"NY",3,"Acer","rubrum","red maple","Plantae",3991,390,"Ripe fruits",2008,5,14,135,2454601,NA,2008,11,6,311,2454777,NA,2008-05-14,"calendar",NA,NA,NA,NA,"Ripe fruits","Deciduous broadleaf",135,2008
1915,41.78344,-73.732552,128,"NY",3,"Acer","rubrum","red maple","Plantae",3991,501,"Open flowers",2008,5,14,135,2454601,NA,2008,11,6,311,2454777,NA,2008-05-14,"calendar",NA,NA,NA,NA,"Open flowers","Deciduous broadleaf",135,2008
1915,41.78344,-73.732552,128,"NY",100,"Quercus","alba","white oak","Plantae",3992,371,"Breaking leaf buds",2008,5,8,129,2454595,NA,2008,11,10,315,2454781,NA,2008-05-08,"calendar",NA,NA,NA,NA,"Leaf budburst","Deciduous broadleaf",129,2008
1915,41.78344,-73.732552,128,"NY",100,"Quercus","alba","white oak","Plantae",3992,390,"Ripe fruits",2008,9,5,249,2454715,11,2008,11,10,315,2454781,NA,2008-09-05,"calendar",NA,NA,NA,NA,"Ripe fruits","Deciduous broadleaf",249,2008
1915,41.78344,-73.732552,128,"NY",102,"Quercus","rubra","northern red oak","Plantae",3993,371,"Breaking leaf buds",2008,5,8,129,2454595,NA,2008,11,10,315,2454781,NA,2008-05-08,"calendar",NA,NA,NA,NA,"Leaf budburst","Deciduous broadleaf",129,2008
2,43.08535,-70.69133,12,"ME",61,"Acer","saccharum","sugar maple","Plantae",7,371,"Breaking leaf buds",2009,5,2,122,2454954,13,2009,5,2,122,2454954,6,2009-05-02,"calendar",NA,NA,NA,NA,"Leaf budburst","Deciduous broadleaf",122,2009
9,43.097801,-87.892998,201,"WI",35,"Syringa","chinensis","Red Rothomagensis lilac","Plantae",13,205,"Open flowers (lilac)",2009,5,17,137,2454969,1,2009,6,7,158,2454990,2,2009-05-17,"calendar",NA,NA,NA,NA,"Open flowers","Deciduous broadleaf",137,2009
9,43.097801,-87.892998,201,"WI",35,"Syringa","chinensis","Red Rothomagensis lilac","Plantae",13,206,"Full flowering (lilac)",2009,5,24,144,2454976,2,2009,6,7,158,2454990,2,2009-05-24,"calendar",NA,NA,NA,NA,"Open flowers","Deciduous broadleaf",144,2009
9,43.097801,-87.892998,201,"WI",35,"Syringa","chinensis","Red Rothomagensis lilac","Plantae",13,373,"Breaking leaf buds (lilac/honeysuckle)",2009,4,19,109,2454941,1,2009,4,25,115,2454947,2,2009-04-19,"calendar",NA,NA,NA,NA,"Leaf budburst","Deciduous broadleaf",109,2009
9,43.097801,-87.892998,201,"WI",35,"Syringa","chinensis","Red Rothomagensis lilac","Plantae",14,205,"Open flowers (lilac)",2009,5,17,137,2454969,1,2009,6,7,158,2454990,2,2009-05-17,"calendar",NA,NA,NA,NA,"Open flowers","Deciduous broadleaf",137,2009
