"site_id","site_name","latitude","longitude","elevation_in_meters","state","species_id","genus","species","common_name","kingdom","individual_id","phenophase_id","phenophase_description","first_yes_year","first_yes_month","first_yes_day","first_yes_doy","first_yes_julian_date","numdays_since_prior_no","last_yes_year","last_yes_month","last_yes_day","last_yes_doy","last_yes_julian_date","numdays_until_next_no"
10585,"MG Perennial Demo Garden",41.433689,-81.693153,220,"OH",963,"Phytolacca","americana","American pokeweed","Plantae",89290,390,"Ripe fruits",2015,8,20,232,2457255,7,2015,10,1,274,2457297,273
10585,"MG Perennial Demo Garden",41.433689,-81.693153,220,"OH",963,"Phytolacca","americana","American pokeweed","Plantae",89290,390,"Ripe fruits",2016,9,8,252,2457640,7,2016,11,17,322,2457710,14
10585,"MG Perennial Demo Garden",41.433689,-81.693153,220,"OH",963,"Phytolacca","americana","American pokeweed","Plantae",89290,390,"Ripe fruits",2017,8,15,227,2457981,5,2017,11,16,320,2458074,NA
10585,"MG Perennial Demo Garden",41.433689,-81.693153,220,"OH",963,"Phytolacca","americana","American pokeweed","Plantae",89290,390,"Ripe fruits",2018,8,23,235,2458354,7,2018,11,8,312,2458431,NA
10585,"MG Perennial Demo Garden",41.433689,-81.693153,220,"OH",963,"Phytolacca","americana","American pokeweed","Plantae",89290,390,"Ripe fruits",2019,8,26,238,2458722,4,2019,11,21,325,2458809,14
10585,"MG Perennial Demo Garden",41.433689,-81.693153,220,"OH",963,"Phytolacca","americana","American pokeweed","Plantae",89290,390,"Ripe fruits",2020,8,27,240,2459089,7,2020,10,15,289,2459138,NA
10585,"MG Perennial Demo Garden",41.433689,-81.693153,220,"OH",963,"Phytolacca","americana","American pokeweed","Plantae",89290,390,"Ripe fruits",2021,8,12,224,2459439,7,2021,12,16,350,2459565,196
10585,"MG Perennial Demo Garden",41.433689,-81.693153,220,"OH",963,"Phytolacca","americana","American pokeweed","Plantae",89290,390,"Ripe fruits",2022,8,11,223,2459803,7,2023,1,5,5,2459950,NA
10585,"MG Perennial Demo Garden",41.433689,-81.693153,220,"OH",963,"Phytolacca","americana","American pokeweed","Plantae",89290,390,"Ripe fruits",2023,8,24,236,2460181,7,2023,12,21,355,2460300,NA
10585,"MG Perennial Demo Garden",41.433689,-81.693153,220,"OH",963,"Phytolacca","americana","American pokeweed","Plantae",89290,390,"Ripe fruits",2024,8,22,235,2460545,7,2024,10,17,291,2460601,7
10585,"MG Perennial Demo Garden",41.433689,-81.693153,220,"OH",963,"Phytolacca","americana","American pokeweed","Plantae",89290,504,"Recent fruit or seed drop",2015,8,27,239,2457262,7,2015,10,1,274,2457297,NA
10585,"MG Perennial Demo Garden",41.433689,-81.693153,220,"OH",963,"Phytolacca","americana","American pokeweed","Plantae",89290,504,"Recent fruit or seed drop",2016,10,6,280,2457668,7,2016,11,17,322,2457710,14
10585,"MG Perennial Demo Garden",41.433689,-81.693153,220,"OH",963,"Phytolacca","americana","American pokeweed","Plantae",89290,504,"Recent fruit or seed drop",2017,8,24,236,2457990,9,2017,11,16,320,2458074,NA
