"site_id","site_name","latitude","longitude","elevation_in_meters","state","species_id","genus","species","common_name","kingdom","individual_id","phenophase_id","phenophase_description","first_yes_year","first_yes_month","first_yes_day","first_yes_doy","first_yes_julian_date","numdays_since_prior_no","last_yes_year","last_yes_month","last_yes_day","last_yes_doy","last_yes_julian_date","numdays_until_next_no"
9249,"yard",32.094242,-99.142578,525,"TX",240,"Spinus","tristis","American goldfinch","Animalia",32046,310,"Fruit/seed consumption",2012,11,13,318,2456245,1,2012,11,13,318,2456245,3
9249,"yard",32.094242,-99.142578,525,"TX",240,"Spinus","tristis","American goldfinch","Animalia",32046,310,"Fruit/seed consumption",2012,11,25,330,2456257,3,2012,11,25,330,2456257,5
9249,"yard",32.094242,-99.142578,525,"TX",240,"Spinus","tristis","American goldfinch","Animalia",32046,310,"Fruit/seed consumption",2012,12,5,340,2456267,4,2013,1,26,26,2456319,2
9249,"yard",32.094242,-99.142578,525,"TX",240,"Spinus","tristis","American goldfinch","Animalia",32046,310,"Fruit/seed consumption",2013,1,29,29,2456322,1,2013,2,22,53,2456346,2
9249,"yard",32.094242,-99.142578,525,"TX",240,"Spinus","tristis","American goldfinch","Animalia",32046,310,"Fruit/seed consumption",2013,2,26,57,2456350,2,2013,3,18,77,2456370,25
9264,"back woodlands",32.098118,-99.144035,518,"TX",240,"Spinus","tristis","American goldfinch","Animalia",32058,310,"Fruit/seed consumption",2012,11,14,319,2456246,NA,2012,11,14,319,2456246,4
9264,"back woodlands",32.098118,-99.144035,518,"TX",240,"Spinus","tristis","American goldfinch","Animalia",32058,310,"Fruit/seed consumption",2013,1,5,5,2456298,1,2013,1,13,13,2456306,5
9264,"back woodlands",32.098118,-99.144035,518,"TX",240,"Spinus","tristis","American goldfinch","Animalia",32058,310,"Fruit/seed consumption",2013,1,19,19,2456312,1,2013,1,24,24,2456317,2
9264,"back woodlands",32.098118,-99.144035,518,"TX",240,"Spinus","tristis","American goldfinch","Animalia",32058,310,"Fruit/seed consumption",2013,2,1,32,2456325,6,2013,2,8,39,2456332,15
9264,"back woodlands",32.098118,-99.144035,518,"TX",240,"Spinus","tristis","American goldfinch","Animalia",32058,310,"Fruit/seed consumption",2013,3,17,76,2456369,19,2013,3,17,76,2456369,NA
9357,"Deer Stand ",32.100971,-99.140045,533,"TX",240,"Spinus","tristis","American goldfinch","Animalia",32953,310,"Fruit/seed consumption",2013,1,6,6,2456299,2,2013,1,6,6,2456299,NA
8418,"my yard",32.363758,-94.873947,108,"TX",240,"Spinus","tristis","American goldfinch","Animalia",33798,310,"Fruit/seed consumption",2012,12,30,365,2456292,NA,2013,1,6,6,2456299,4
8418,"my yard",32.363758,-94.873947,108,"TX",240,"Spinus","tristis","American goldfinch","Animalia",33798,310,"Fruit/seed consumption",2013,1,13,13,2456306,3,2013,1,13,13,2456306,5
8418,"my yard",32.363758,-94.873947,108,"TX",240,"Spinus","tristis","American goldfinch","Animalia",33798,310,"Fruit/seed consumption",2013,2,3,34,2456327,6,2013,2,10,41,2456334,3
8418,"my yard",32.363758,-94.873947,108,"TX",240,"Spinus","tristis","American goldfinch","Animalia",33798,310,"Fruit/seed consumption",2013,2,17,48,2456341,4,2013,2,28,59,2456352,3
8418,"my yard",32.363758,-94.873947,108,"TX",240,"Spinus","tristis","American goldfinch","Animalia",33798,310,"Fruit/seed consumption",2013,3,10,69,2456362,4,2013,3,10,69,2456362,3
8418,"my yard",32.363758,-94.873947,108,"TX",240,"Spinus","tristis","American goldfinch","Animalia",33798,310,"Fruit/seed consumption",2013,4,6,96,2456389,3,2013,4,21,111,2456404,3
9621,"My yard",27.972702,-97.134949,3,"TX",240,"Spinus","tristis","American goldfinch","Animalia",36006,310,"Fruit/seed consumption",2013,2,15,46,2456339,NA,2013,3,1,60,2456353,4
9621,"My yard",27.972702,-97.134949,3,"TX",240,"Spinus","tristis","American goldfinch","Animalia",36006,310,"Fruit/seed consumption",2013,3,6,65,2456358,1,2013,3,6,65,2456358,2
9621,"My yard",27.972702,-97.134949,3,"TX",240,"Spinus","tristis","American goldfinch","Animalia",36006,310,"Fruit/seed consumption",2013,3,11,70,2456363,3,2013,3,18,77,2456370,4
9636,"Edna's Yard",32.094784,-99.150993,515,"TX",240,"Spinus","tristis","American goldfinch","Animalia",36192,310,"Fruit/seed consumption",2013,2,17,48,2456341,NA,2013,2,17,48,2456341,NA
9656,"Abandoned farm",32.098297,-99.182373,519,"TX",240,"Spinus","tristis","American goldfinch","Animalia",36212,310,"Fruit/seed consumption",2013,3,6,65,2456358,16,2013,3,6,65,2456358,NA
8418,"my yard",32.363758,-94.873947,108,"TX",240,"Spinus","tristis","American goldfinch","Animalia",33798,310,"Fruit/seed consumption",2013,12,8,342,2456635,7,2013,12,8,342,2456635,3
8418,"my yard",32.363758,-94.873947,108,"TX",240,"Spinus","tristis","American goldfinch","Animalia",33798,310,"Fruit/seed consumption",2013,12,15,349,2456642,4,2014,2,16,47,2456705,3
8418,"my yard",32.363758,-94.873947,108,"TX",240,"Spinus","tristis","American goldfinch","Animalia",33798,310,"Fruit/seed consumption",2014,2,23,54,2456712,4,2014,2,23,54,2456712,4
8418,"my yard",32.363758,-94.873947,108,"TX",240,"Spinus","tristis","American goldfinch","Animalia",33798,310,"Fruit/seed consumption",2014,3,2,61,2456719,3,2014,4,20,110,2456768,3
8418,"my yard",32.363758,-94.873947,108,"TX",240,"Spinus","tristis","American goldfinch","Animalia",33798,310,"Fruit/seed consumption",2014,12,7,341,2456999,42,2014,12,13,347,2457005,5
